comment_id,video_id,detected_lang,sentiment,misinfo_label,misinfo_score,topic_id
UgycwbgdrpQrn7LHWd54AaABAg,qysdcRzFj6w,EN,negative,opinion,0.6547448039054871,11
Ugx7Zla2C3T3zpAccQN4AaABAg,zA8Qx2ieL80,OTHER,positive,factual reporting,0.9798728823661804,5
UgxoQV6Jv1cQtYcmRpR4AaABAg,l4U9MMvR3a0,OTHER,neutral,misinformation,0.7503471970558167,-1
UgxZlw2Ejwlt_8yVBRx4AaABAg,wXSMTgVGAT4,OTHER,negative,opinion,0.36472514271736145,4
UgwjPvcPA_xWHIwMW_B4AaABAg,0u90ryFQ090,OTHER,positive,opinion,0.7050144076347351,3
Ugxn0i6k_awFg9veMKx4AaABAg,er2HgwR-j8o,OTHER,positive,opinion,0.35996249318122864,3
Ugw_Hk4coQ4DUFS3v8N4AaABAg,NfzavjAnEiI,OTHER,positive,opinion,0.8185504674911499,-1
UgwC4DraOdV4en6XcZt4AaABAg,w72FqtP7AZA,EN,negative,misinformation,0.38895732164382935,-1
UgzA3Hs9l1dnW6XGKaF4AaABAg,8MXTdXkcQSU,OTHER,negative,misinformation,0.3939158320426941,-1
UgzpOwzO3rJQU5q-f7B4AaABAg,6j7bST00E_k,OTHER,neutral,misinformation,0.6203445196151733,-1
UgwtbB9pGZ5tEKlPtyZ4AaABAg,MJSjtM8p4R0,OTHER,positive,opinion,0.859710693359375,8
Ugzfc2Kh17ktoRw3-rZ4AaABAg,0rr1DG3eOho,OTHER,positive,misinformation,0.6174315214157104,0
UgyANE8yop-KIgeuXJJ4AaABAg,YuQnP2spL2o,OTHER,negative,misinformation,0.48609989881515503,-1
Ugw77Cpb_5Vxc5yiFTt4AaABAg,96u35dWSEb4,EN,neutral,opinion,0.6016096472740173,-1
Ugx-A0O8Pb7i37MQHZZ4AaABAg,XZz-UU4pK3s,EN,positive,opinion,0.601349949836731,0
UgzBC0vHxvZvQxNJdzR4AaABAg,25ZYt0CsUbE,OTHER,positive,opinion,0.6352490186691284,-1
UgxC7AL8NNLElP4q_-B4AaABAg,4o8Fxl5jdu4,OTHER,negative,misinformation,0.40873825550079346,1
Ugyxrd2ulAOcRMii_I14AaABAg,faGQM5O4pCA,OTHER,positive,opinion,0.8270397186279297,-1
UgxwkZVeUiQVB2ixHtt4AaABAg,U8Bt7xsOQ_I,EN,negative,opinion,0.8046613335609436,0
UgxMUrKEKV__DUNfIOB4AaABAg,W5adrEyfAoI,OTHER,neutral,misinformation,0.45526471734046936,-1
UgyEPyob6XlPq1oPQ8R4AaABAg,691jBkb6III,OTHER,positive,opinion,0.37914150953292847,2
UgxHt7vV02dQoaWIApt4AaABAg,sBlZJVc5I5k,OTHER,neutral,opinion,0.6317874789237976,1
UgwIEqJSREDjsH_fsmJ4AaABAg,hV4izD9Wo44,EN,positive,opinion,0.6500794887542725,-1
UgxVe_DtygyLXk4WbpZ4AaABAg,o_WOXFA9yRc,OTHER,positive,opinion,0.7743450403213501,4
UgxuIAuZDysUDIV20O14AaABAg,4o8Fxl5jdu4,OTHER,negative,opinion,0.3794260323047638,0
UgwE1SDz8oTcHouBbft4AaABAg,JSK_TC_8o-8,OTHER,positive,opinion,0.5218334197998047,2
UgxQqrf9QBvWfkfbn-x4AaABAg,gfGNAPEn1Yg,OTHER,positive,opinion,0.611872673034668,1
UgwvDYbyTqq8iEbZMVl4AaABAg,mXd6I0-GIFc,OTHER,positive,opinion,0.4457451403141022,4
UgygTlAEoq2M5GOrstF4AaABAg,0bJynnKMR4k,OTHER,negative,misinformation,0.9232733249664307,5
Ugxm9hzZrNIvnAPVMi14AaABAg,aHnkzdh_4LE,EN,negative,opinion,0.7906147837638855,1
UgyfipqVaav4TJ1l3bV4AaABAg,BrK7mF9o9Gw,EN,positive,opinion,0.8782947659492493,-1
UgyRK1RJgb9W42x7GpR4AaABAg,XrRqJk-7Gy8,EN,neutral,factual reporting,0.8543188571929932,2
UgyhzTzUVg6XNsJuxUZ4AaABAg,uFniePJ-qEE,OTHER,neutral,factual reporting,0.38825350999832153,0
UgwHF2aHnrUzJ3u7SPF4AaABAg,ga5tKkLKVYU,OTHER,positive,misinformation,0.6197251677513123,3
Ugzo4X_5kwPAPNxy9jN4AaABAg,0q7jc7EGcDQ,OTHER,positive,opinion,0.8514999151229858,-1
UgyWM-AXOUm3pEPHV7d4AaABAg,tNejafB6Bfk,OTHER,positive,opinion,0.5527782440185547,-1
UgwSKxfGz35-fZTsx_d4AaABAg,gHNSuh0PYzo,OTHER,positive,opinion,0.482830673456192,4
Ugx8yArfK6mRKAE-ik94AaABAg,-i5_qSRckLA,OTHER,positive,opinion,0.45479196310043335,-1
UgwLobKtMe_yliPAkIR4AaABAg,LBnY3Z1V1Lw,EN,negative,misinformation,0.7218726277351379,-1
